text,nile
"If a student is in obvious violations of copyright law by using a room's wired connection (ie ResNet) to distribute copyrighted materials, the room's connection will be disabled, and the issue could be sent to Housing Student Judicial Affairs",define intent uniIntent: add middlebox('copyright monitoring') for group('students')
"Currently, the University of Illinois does not have any rate limits",define intent uniIntent: for endpoint('university') unset bandwidth()
University Housing monitors only the amount of traffic of each user,define intent uniIntent: for endpoint('dorms') add middlebox('traffic monitor')
CounterStrike server is blocked by the University firewall,define intent uniIntent: for endpoint('university') add middlebox('firewall') block service('CounterStrike')
AIM chat and file transfering is allowed by the University firewall,"define intent uniIntent: for endpoint('university') add middlebox('firewall') allow service('AIM chat'), service('file transfer')"
Battlenet is allowed by the University firewall,define intent uniIntent: for endpoint('university') add middlebox('firewall') allow service('Battlenet')
H323 video conferencing is allowed by the University firewall,define intent uniIntent: for endpoint('university') add middlebox('firewall') allow traffic('H323 video conferencing')
Everquest is blocked by the University firewall,define intent uniIntent: for endpoint('university') add middlebox('firewall') block service('Everquest')
HTTP and HTTPS are allowed by the University firewall,"define intent uniIntent: for endpoint('university') add middlebox('firewall') allow protocol('HTTP'), protocol('HTTPS')"
IMAP and secure IMAP are allowed by the University firewall,"define intent uniIntent: for endpoint('university') add middlebox('firewall') allow protocol('IMAP'), protocol('secure IMAP')"
"MSN audio and video communications are not allowed by the University firewall, but the MSN chat, application sharing and file transferring are not blocked","define intent uniIntent: for endpoint('university') add middlebox('firewall') block service('MSN video'), service('MSN audio') allow service('MSN chat'), service('MSN application sharing'), service('file transfer')"
Net2Phone is allowed by the University firewall,define intent uniIntent: for endpoint('university') add middlebox('firewall') allow service('Net2Phone')
PC-Telephone is allowed by the University firewall,define intent uniIntent: for endpoint('university') add middlebox('firewall') allow service('PC Telephone')
POP3 and secure POP are allowed by the University firewall,"define intent uniIntent: for endpoint('university') add middlebox('firewall') allow protocol('POP3'), protocol('secure POP')"
SMTP is allowed by the University firewall,define intent uniIntent: for endpoint('university') add middlebox('firewall') allow protocol('SMTP')
Sony Playstation 2 is allowed by the University firewall,define intent uniIntent: for endpoint('university') add middlebox('firewall') allow service('Sony Playstation 2')
SSH is allowed by the University firewall,define intent uniIntent: for endpoint('university') add middlebox('firewall') allow protocol('SSH')
Telnet is allowed by the University firewall,define intent uniIntent: for endpoint('university') add middlebox('firewall') allow protocol('Telnet')
Sorenson Videophone 200 is allowed by the University firewall,define intent uniIntent: for endpoint('university') add middlebox('firewall') allow service('Sorenson Videophone 200')
FTP and SFTP servers are allowed by the University firewall,"define intent uniIntent: for endpoint('university') add middlebox('firewall') allow protocol('ftp'), protocol('sftp')"
Students data limit is 100 GB per week,"define intent uniIntent: for group('students') set quota('download', '100', 'gb/wk')"
Students 10 GB a day download quotas are on 10 AM to Midnight,"define intent uniIntent: for group('students') set quota('download', '10', 'gb/d') start hour('10:00') end hour('23:59')"
The system passively monitors the network throughput when traffic is light,define intent uniIntent: for endpoint('network') add middlebox('traffic monitor')
"There is a 6 GB per 24-hour period upload or download data transfer limit, starting at midnight of each day, on all your combined traffic on ResNet and UIC wireless","define intent uniIntent: for endpoint('dorms'), endpoint('wireless') set quota('any', '6', 'gb/d') start hour('00:00') end hour('23:59')"
Guests cannot run any file sharing/downloading program,define intent uniIntent: for endpoint('guests') block service('file transfer')
"No individual service or system running on the wired/wireless network should use more than 10 gigabytes of bandwidth per day, regardless of whether it is in inbound or outbound over the commodity network link","define intent uniIntent: for endpoint('network') set quota('any', '10', 'gb/d')"
The system will trigger an overuse notification if the average for either inbound or outbound usage exceeds 10 GB per week,"define intent uniIntent: for endpoint('network') add middlebox('overuse notification') set quota('any', '10', 'gb/wk')"
Quotas for students are 5000 Megabyte per hr download and 2000 Megabyte per hour upload,"define intent uniIntent: for group('students') set quota('download', '5000', 'mb/h'), quota('upload', '2000', 'mb/h')"
Routers or anything else that does routing or NAT are prohibited from MITNet as they interfere with the operation of the network,define intent uniIntent: for endpoint('dorms') block protocol('nat')
"When a total of 18 gigabytes of data is reached, the individual's bandwidth rate limit is set to 2 Mbps","define intent uniIntent: for endpoint('host') set quota('download', '18', 'gb'), bandwidth('max', '2', 'mbps')"
The individual will have a 4 Mbps bandwidth rate limit,"define intent uniIntent: for endpoint('host') set bandwidth('max', '4', 'mbps')"
"RHIT-OPEN will work in labs, classrooms and residence halls but does not allow the user to access the internal Rose-Hulman network",define intent uniIntent: from endpoint('guests') to endpoint('servers') for group('host') block traffic('any')
"You may not run FTP, telnet, peer-to-peer, HTTP, IRC, DNS and mail server on your ResNet or UIC wireless","define intent uniIntent: for endpoint('dorms'), endpoint('wireless') block protocol('ftp'), protocol('telnet'), traffic('peer2peer'), protocol('http'), service('irc'), protocol('dns'), service('email')"
Students have 200 GB of Free monthly usage,"define intent uniIntent: for group('students') set quota('download', '200', 'gb/mth')"
Faculty members have 500 Gb per week of free network use,"define intent uniIntent: for group('professors') set quota('download', '500', 'gb/wk')"
Students have a quota of 5 GB per day The quota is reset at 6am,"define intent uniIntent: for group('students') set quota('download', '5','gb/d') start hour('06:00') end('05:59')"
Internet is limited to 3 Mbps per host,"define intent uniIntent: for endpoint('host') set bandwidth('max', '3', 'mbps')"
P2P application is separately capped at 30 Mbps for the entire campus,"define intent uniIntent: for traffic ('peer2peer'), endpoint('campus') set bandwidth('max', '30', 'mbps')"
Guests' network is rate-limited to 5 Mb/s per user,"define intent uniIntent: for group('guests') set bandwidth('max', '5', 'mbps')"
The ResNet cap is currently 200 gigabytes per each 7 day period of combined incoming and outgoing traffic,"define intent uniIntent: for group('dorms') set quota('any', '200', 'gb/wk') "
These network security changes include blocking traffic from the Internet into the UW network over FTP,define intent uniIntent: from endpoint('internet') to endpoint('network') block protocol('ftp') 
"Elements of network security currently include the following four solutions: Network Border Infrastructure System, Intrusion Prevention System, Firewalls, and Custom Unit Firewalls","define intent uniIntent: for endpoint('network') add middlebox('network border system'), middlebox('ips'), middlebox('firewall'), middlebox('unit firewall') "
ACT/IT Infrastructure monitors traffic on the network for the purpose of maintaining proper network function,define intent uniIntent: for endpoint('network') add middlebox('traffic monitor') 
"CIS restricts traffic that is known to cause damage to the network or hosts on it, such as NETBIOS",define intent uniIntent: for endpoint('network') block service('NETBIOS')
All network traffic passing in or out of Brown's network is monitored by an intrusion detection system for signs of compromises,define intent uniIntent: for endpoint('network') add middlebox('traffic monitor') 
"You may not run any services (e.g., FTP services, listservers, P2P file sharing servers, publishing files via generic file services, etc.) via NYU's ResNet or NYURoam wireless networks","define intent uniIntent: for endpoint('dorms'), endpoint('wireless') block protocol('ftp'), service('listserver'), traffic('peer2peer')"
Housing does not normally limit the amount of bandwidth,define intent uniIntent: for endpoint('dorms') unset bandwidth()
"The UVA More Secure Network uses a firewall, a network security device designed to help protect your computer from hackers and other malicious people on the Internet.",define intent uniIntent: for endpoint('network') add middlebox('firewall')
"The network firewall does prevent some applications from working in their normal manner, for example, video and audio conferencing products that use the H.323",define intent uniIntent: for endpoint('network') block traffic('H323 video conferencing')
The UC Davis network is continually scanned for prohibited activities and network threats.,define intent uniIntent: for endpoint('network') add middlebox('traffic monitor')
Halo me police block traffic for us students,define intent uniIntent: for group('students') block traffic('all')
police block traffic for all students,define intent uniIntent: for group('students') block traffic('all')
Students shall download no more than 20 GB per hour,"define intent uniIntent: for group('students') set quota('download', '20', 'gb')"
"please lumi, define dorms quota to 10 gb per week","define intent uniIntent: for endpoint('network') set quota('download', '10', 'gb/wk')"
"please lumi, define quota 100 gb per week to dorms","define intent uniIntent: for endpoint('dorms') set quota('download', '100', 'gb/wk')"
"please lumi, block f2movies traffic from internet to labs",define intent uniIntent: from endpoint('gateway') to endpoint('labs') block service('F2movies')
Limit servers to 5gbps during 5pm to 7pm,"define intent uniIntent: for endpoint('network') set bandwidth('max', '5', 'gbps')"
Block F2movies traffic for Labs,define intent uniIntent: for endpoint('labs') block service('F2movies')
set quota to 10 GB per week at LAN,"define intent uniIntent: for protocol('LAN') set quota('download', '10', 'gb/wk')"
Between internet and labs block traffic from F2movies,define intent uniIntent: from endpoint('gateway') to endpoint('labs') block service('F2movies')
limit download fee of 10 Gb per user us bedrooms,"define intent uniIntent: for endpoint('network') set quota('download', '10', 'gb')"
add middlebox('dpi'),define intent uniIntent: for endpoint('network') add middlebox('dpi')
Limit students in the dorm to 10 GB per week,"define intent uniIntent: for endpoint('dorms') set quota('download', '10', 'gb/wk')"
block facebook traffic,define intent uniIntent: for traffic('all') block service('facebook')
block f2movies on labs,define intent uniIntent: for endpoint('labs') block service('F2movies')
block f2movies for students on the lab,"define intent uniIntent: for group('students'), endpoint('labs') block service('F2movies')"
limit servers bandwidth to 5gbps between 4 and 7,"define intent uniIntent: for endpoint('network') set bandwidth('max', '5', 'gbps')"
"hey Lumi, add dpi to labs",define intent uniIntent: for endpoint('labs') 
add dpi to labs network,define intent uniIntent: for endpoint('labs') 
block F2movies traffic to the labs,define intent uniIntent: for endpoint('labs') block service('F2movies')
please limit bandwidth to 5 Gigabits per second for the server racks everyday from 4 PM to 7 PM,"define intent uniIntent: for endpoint('servers'), protocol('everyday') set bandwidth('max', '5', 'gbps') start hour('16:00') end hour('19:00')"
please limit bandwidth to 5 Gigabits per second for the server racks everyday from 4 PM to 7 PM,"define intent uniIntent: for endpoint('servers'), protocol('everyday') set bandwidth('max', '5', 'gbps') start hour('16:00') end hour('19:00')"
All traffic from the Internet to the Labs has to go to DPI server and then goes to the Labs.,define intent uniIntent: from endpoint('gateway') to endpoint('labs') for traffic('all') add middlebox('has')
Set bandwidth to 100 Mbps to Torrent traffic.,"define intent uniIntent: for traffic('torrent') set bandwidth('max', '100', 'mbps')"
Set 10 GB/wk quota from Internet to the Dorms.,"define intent uniIntent: from endpoint('gateway') to endpoint('dorms') set quota('download', '10', 'gb/wk')"
set quota to 10 GB per week at servers,"define intent uniIntent: for endpoint('network') set quota('download', '10', 'gb/wk')"
limit downloads to 1 gb,"define intent uniIntent: for endpoint('network') set quota('download', '1', 'gb/hr')"
block all traffic,define intent uniIntent: for traffic('all') 
Please block traffic for all students,define intent uniIntent: for group('students') block traffic('all')
block all student traffic,define intent uniIntent: for group('students') block traffic('all')
unblock traffic,define intent uniIntent: for endpoint('network') 
Block F2movies traffic to Labs.,define intent uniIntent: for endpoint('labs') block service('F2movies')
Limit guests to 100 mbps bandwidth for torrent traffice,"define intent uniIntent: for group('guests'), traffic('torrent') set bandwidth('max', '100', 'mbps')"
"Lumi's, add a firewall and block F2movies traffic from students in labs","define intent uniIntent: for group('students'), endpoint('labs') add middlebox('firewall') block service('F2movies')"
Limit server traffic from 4pm to 7pm up to 5Gbps,"define intent uniIntent: for endpoint('network') set bandwidth('max', '5', 'gbps') start hour('16:00') end hour('19:00')"
Limit traffic from 4pm to 7pm up to 5Gbps in servers,"define intent uniIntent: for traffic('all') set bandwidth('max', '5', 'gbps') start hour('16:00') end hour('19:00')"
Block all traffic for nintendo network to the staff,define intent uniIntent: for group('staff') block traffic('all')
"Lumi, inspect using DPI all traffic from the Internet to the labs",define intent uniIntent: from endpoint('gateway') to endpoint('labs') for traffic('all') add middlebox('dpi')
"Lumi, for the guest network, limit the traffic of torrent protocol to 100 MBPs","define intent uniIntent: for group('guests'), traffic('torrent'), traffic('all')  set bandwidth('max', '100', 'mbps')"
"Lumi, for the guest network, limit the traffic of the torrent protocol to 100 MBPs","define intent uniIntent: for group('guests'), traffic('all'), traffic('torrent')  set bandwidth('max', '100', 'mbps')"
"Lumi, for the guest network, limit the traffic of torrent protocol to 100 mbps","define intent uniIntent: for group('guests'), traffic('torrent'), traffic('all')  set bandwidth('max', '100', 'mbps')"
"Lumi, for the guest network, limit the traffic of torrent protocol to 100 MBPs","define intent uniIntent: for group('guests'), traffic('torrent') set bandwidth('max', '100', 'mbps')"
route all traffic to Labs through DMZ,"define intent uniIntent: for endpoint('labs'), traffic('all') add middlebox('DMZ')"
limit all torrent traffic to 100 Mbps,"define intent uniIntent: for traffic('all'), traffic('torrent') set bandwidth('max', '100', 'mbps')"
Students can download up to 10 GB per week of data,"define intent uniIntent: for group('students') set quota('download', '10', 'gb/wk')"
all incoming traffic to the labs must pass through a DPI,"define intent uniIntent: for endpoint('labs'), traffic('all') add middlebox('dpi')"
"Lumi, inspect all traffic for the studens labs",define intent uniIntent: for traffic('all') add middlebox('dpi')
"Lumi, block all traffic to F2Movies for students on the Labs","define intent uniIntent: for group('students'), endpoint('labs') block service('F2movies') traffic('all')"
"Lumi, block all torrent traffic","define intent uniIntent: for endpoint('network') block traffic('all'), traffic('torrent')"
"Hey Lumi, please limit the bandwith from gateway to servers to 5Gbps everyday from 4:00PM to 7:00PM","define intent uniIntent: from endpoint('gateway') to endpoint('servers') for protocol('everyday') set bandwidth('max', '5', 'gbps') start hour('16:00') end hour('19:00')"
block f2movies.com students labs,define intent uniIntent: for group('students') block service('F2movies')
set students quota to 10gb per week,"define intent uniIntent: for group('students') set quota('download', '10', 'gb/wk')"
set students quota do 10gb at the dorms,"define intent uniIntent: for group('students'), endpoint('dorms') set quota('download', '10', 'gb/hr')"
direct all traffic from from gateway through DMZ to servers,"define intent uniIntent: for endpoint('servers'), endpoint('gateway'), traffic('all') add middlebox('DMZ')"
limit P2P traffic between LAN and Guests to 100 Mbps,"define intent uniIntent: for endpoint('guests'), endpoint('LAN'), traffic('all') set bandwidth('max', '2', 'mbps')"
block traffic from f2movies going to students in the labs,"define intent uniIntent: for group('students'), endpoint('labs') block service('F2movies')"
students labs block traffic,define intent uniIntent: for group('students') block traffic('all')
Only allow the DNS server to use DNS.  Block all other inbound and outbound requests,define intent uniIntent: for endpoint('network') allow protocol('dns') 
